Date,Not indexed,Indexed,Impressions
2025-08-20,,,0
2025-08-21,,,0
2025-08-22,,,6
2025-08-23,46,32,19
2025-08-24,27,80,24
2025-08-25,27,80,45
2025-08-26,27,80,31
2025-08-27,50,57,27
2025-08-28,50,57,28
2025-08-29,50,57,0
2025-08-30,50,57,1
2025-08-31,50,57,2
2025-09-01,50,57,2
2025-09-02,50,57,1
2025-09-03,53,54,1
2025-09-04,53,54,3
2025-09-05,53,54,1
2025-09-06,53,54,1
2025-09-07,53,54,3
2025-09-08,53,54,3
2025-09-09,53,54,1
2025-09-10,70,37,1
2025-09-11,70,37,0
2025-09-12,70,37,0
2025-09-13,70,37,1
2025-09-14,81,26,0
2025-09-15,81,26,0
2025-09-16,81,26,0
2025-09-17,83,24,0
2025-09-18,83,24,0
2025-09-19,83,24,0
2025-09-20,83,24,0
2025-09-21,88,19,0
2025-09-22,88,19,0
2025-09-23,88,19,0
2025-09-24,91,16,0
2025-09-25,91,16,0
2025-09-26,91,16,0
2025-09-27,91,16,1
2025-09-28,93,14,0
2025-09-29,93,14,0
2025-09-30,93,14,0
2025-10-01,98,9,1
2025-10-02,98,9,0
2025-10-03,98,9,0
2025-10-04,98,9,0
2025-10-05,111,28,0
2025-10-06,111,28,0
2025-10-07,111,28,3